Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
42    2     REN12       HE0005-0002                 2MASS_J00080677+0014089            *        *        *     RG    0_8_6.772      0_14_8.93      -65.4   2005A&A...439..129B *       15.374  14.552  14.031  13.489  12.907  12.367  12.292  4726   1.58   -3.09 1.82    *     *     5.63 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.41  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     -2.03 *     *      *      *     *      *      *     
43    1     BAR05       CS31060-047                 2MASS_J00080780-1554038            *        *        *     RG    0_8_7.806      -15_54_3.84    106.1   2005A&A...439..129B *       14.62   13.8    13.296  12.784  12.052  11.521  11.44   4749   1.55   -2.72 2       *     *     5.41 *    *    *    *    5.11 2.64 *    *    *    *    3.76  0.53  2.46  *     2.53  2.42  4.78  2.32  3.78  *     *    *     *     *     *     *    0.11  *     *     *     *     *     *     *     *     *     *    *     -1.61 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
44    1     ALL12       CS31070-073                 2MASS_J00085182+0526171            R2       CR       *     SG    0_8_51.825     5_26_17.15     *       *                   *       15.007  14.398  14.243  13.903  13.535  13.258  13.203  6190   3.86   -2.55 1.5     *     *     7.22 *    *    *    *    5.58 *    *    *    *    *    *     *     *     *     *     *     4.95  *     *     *     *    *     *     *     *     *    2.07  1.56  1.92  *     *     *     *     *     *     *     *    *     1.91  1.09  1.71  *     1.33  0.71  0.71  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      4.86  
45    1     COH04       HE0007-1832                 2MASS_J00095277-1816124            R2       CR       *     SG    0_9_52.78      -18_16_12.5    26.4    2013ApJ...778...56C *       16.3    15.46   15.1    *       14.51   14.322  14.242  6515   3.8    -3    1.7     *     *     8.29 7    *    *    *    5.65 3.28 5.06 *    *    *    4.03  *     2.73  *     *     2.51  4.8   2.95  3.62  *     *    *     *     *     *     *    0.39  *     *     *     *     *     *     *     *     *     *    *     -0.36 0.3   *     *     *     *     -0.35 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    2.34  *     *     *     *      *      *     *      *      *     
46    2     COH13       HE0007-1832                 2MASS_J00095277-1816124            R2       CR       *     SG    0_9_52.78      -18_16_12.5    26.4    2013ApJ...778...56C *       16.3    15.46   15.1    *       14.51   14.322  14.242  6500   3.8    -2.79 1.7     *     *     8.42 7.29 *    *    *    5.36 3.63 *    *    *    *    3.94  *     2.52  *     *     2.43  4.71  *     3.52  *     *    *     *     *     *     *    0.16  *     *     *     *     *     *     *     *     *     *    *     -0.57 *     *     *     *     *     -0.57 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.52   *     *      *      4.69  
47    1     BAR05       HE0008-3842                 2MASS_J00105603-3826100            *        *        *     RG    0_10_56.04     -38_26_10.04   128.9   2005A&A...439..129B *       14.531  13.372  12.722  12.064  11.348  10.759  10.605  4327   0.65   -3.35 2.39    *     *     4.17 *    *    *    *    4.58 2.3  *    *    *    *    2.98  -0.15 1.66  *     1.64  1.22  4.17  1.53  2.75  *     *    *     *     *     *     *    -1.86 *     *     *     *     *     *     *     *     *     *    *     -2.95 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
48    1     HAN15       HE0010-3422                 2MASS_J00130901-3405548            R2       CR       *     RG    0_13_9.011     -34_5_54.9     *       *                   *       15.577  15.482  15.403  15.303  12.818  12.458  12.336  5400   3.1    -2.7  2.4     1.11  *     7.57 7.65 7.93 *    4.46 5.16 3.13 *    *    *    *    3.82  0.82  2.76  1.88  2.63  1.94  4.72  2.36  3.45  *     2.35 *     *     *     *     *    0.94  0.44  0.88  *     *     *     *     *     *     *     *    *     0.94  0.53  0.79  -0.06 -0.06 0.15  -0.54 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    1.59  *     *     *     *      *      *     *      *      *     
49    1     LAI07       CS31070-058                 2MASS_J00143392+0551447            *        *        *     RG    0_14_33.93     5_51_44.73     *       *                   14.401  14.281  13.517  12.981  12.498  11.769  11.332  11.236  4864   1.89   -2.29 *       *     *     6.42 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.21  *     *     *     *    *     *     *     *     *    0.75  *     *     *     *     *     *     *     *     *     *    *     -0.37 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
50    2     COH06       HE0012-1441                 2MASS_J00152706-1424376            *        CR       *     SG    0_15_27.06     -14_24_37.7    11.2    2013ApJ...778...56C *       *       16.4    *       *       15.263  14.943  14.642  5730   3.5    -2.52 1.6     *     *     7.66 6.05 *    *    *    5.93 *    *    *    *    *    4.26  *     2.6   *     2.97  *     4.93  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.76  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    1.35  *     *     *     *      *      *     *      *      *     
51    1     COH13       HE0012-1441                 2MASS_J00152706-1424376            *        CR       *     SG    0_15_27.06     -14_24_37.7    11.2    2013ApJ...778...56C *       *       16.4    *       *       15.263  14.943  14.642  5750   3.5    -2.52 1.6     *     *     7.62 5.99 *    *    *    5.91 *    *    *    *    *    4.26  *     2.53  *     2.97  *     4.98  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.76  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    1.5   *     *     *     *      2.63   *     *      *      4.83  
52    1     HOL11       HE0013-0257                 2MASS_J00160423-0241052            R1       *        *     RG    0_16_4.23      -2_41_5.3      45.4    2011ApJ...742...54H *       13.7    *       12.8    *       10.981  10.498  10.421  4500   0.5    -3.82 2.1     0.92  *     4.83 *    *    *    *    4.46 1.96 4.22 *    *    *    2.92  -0.75 1.5   *     1.45  0.81  3.68  1.42  2.55  *     1.32 *     *     *     *     *    -1.41 -1.79 -0.24 *     *     *     *     *     *     *     *    *     -2.8  -2.06 *     *     *     *     -2.63 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      1.38   *     *      *      *     
53    1     HOL11       HE0013-0522                 2MASS_J00162809-0505519            R1       *        *     RG    0_16_28.09     -5_5_52        -175.5  2011ApJ...742...54H *       13.7    *       *       *       11.4    10.942  10.919  4900   1.7    -3.24 1.8     1.03  *     5.61 *    *    *    *    5.04 2.67 4.8  *    *    *    3.59  0.01  2.03  *     2.11  1.74  4.26  2.09  3.03  *     1.75 *     *     *     *     *    -0.58 -1.06 -0.35 *     *     *     *     *     *     *     *    *     -1.95 -1.43 *     *     *     *     -1.76 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.01   *     2.73   *      *     
54    1     ROE14b      CS30339-015                 2MASS_J00165810-3348175            R2       *        *     SG    0_16_58.11     -33_48_17.6    111     1992AJ....103.1987B *       15.68   15.28   15.4    *       14.28   14.001  13.965  5840   3.6    -2.86 1.45    2.04  *     5.91 6    6.5  *    *    5.04 2.76 5.11 *    *    2.46 3.82  0.12  2.22  *     2.36  2     4.5   2.17  3.15  *     2.41 *     *     *     *     2.66 -0.25 -0.69 0.25  1.45  1.01  *     *     *     *     *     *    *     -1.39 -0.75 -0.14 -0.37 -0.21 -0.04 -1.41 0.27  -0.4  -0.45 -0.5  -0.35 -0.64 -1.26 *     0.61  *     *     *     *     *     *    1.45  *     -0.33 *     *      2.22   *     *      2.03   4.64  
55    1     HOL11       HE0015+0048                 2MASS_J00180143+0105081            R1       *        *     RG    0_18_1.43      1_5_8.1        -48.8   2011ApJ...742...54H *       14      *       *       *       11.512  11.043  10.939  4600   0.9    -3.07 1.85    0.92  *     5.97 *    *    *    *    5.18 3    4.93 *    *    *    3.71  0.14  1.98  *     2.4   2.06  4.42  1.97  3.13  *     1.58 *     *     *     *     *    -1.27 -1.19 -0.82 *     *     *     *     *     *     *     *    *     -2.07 -1.66 *     *     *     *     -1.8  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.14   *     2.9    *      *     
56    1     BAR05       HE0017-4838                 2MASS_J00194832-4821236            *        *        *     RG    0_19_48.32     -48_21_23.62   26.8    2005A&A...439..129B *       16.774  16.115  15.675  15.298  14.653  14.12   14.122  5149   2.23   -3.23 1.81    *     *     4.87 *    *    *    *    4.6  2.35 *    *    *    *    3.4   0.17  2.15  *     2.06  1.58  4.27  2.01  3.18  *     *    *     *     *     *     *    0.42  -0.65 *     *     *     *     *     *     *     *     *    *     -1.88 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
57    2     PRE06       CS22882-001                 2MASS_J00202529-3139040            R1       *        *     HB    0_20_25.3      -31_39_4       28      1992AJ....103.1987B *       15.22   14.82   14.5    *       13.677  13.362  13.317  5950   2.5    -2.3  3.2     *     *     6    *    *    *    *    5.36 3.31 5.25 *    *    *    4.24  0.87  2.92  1.9   3.05  2.36  5.01  *     *     *     *    *     *     *     *     *    0.67  -0.39 *     *     *     *     *     *     *     *     *    *     -0.18 -0.7  *     *     *     *     -1.08 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
58    1     ROE14b      CS22882-001                 2MASS_J00202529-3139040            R1       *        *     HB    0_20_25.3      -31_39_4       28      1992AJ....103.1987B *       15.22   14.82   14.5    *       13.677  13.362  13.317  5930   1.9    -2.62 3       1.59  *     6.5  7.5  *    *    *    5.37 3.13 5.1  *    *    *    4.15  0.69  2.85  1.74  3     2.71  4.88  2.44  3.75  *     2.76 *     *     *     *     *    0.41  -0.38 0.4   1.35  1.46  *     *     *     *     *     *    *     -0.38 -0.91 -0.25 -0.7  -0.44 -0.48 -1.29 -0.16 0     -0.46 -0.85 -0.59 -0.74 -1.14 *     0.18  *     *     *     *     *     *    1.86  *     -0.64 *     *      2.75   1.74  3.33   *      4.88  
59    2     ROE14e      CS22882-001                 2MASS_J00202529-3139040            R1       *        *     HB    0_20_25.3      -31_39_4       28      1992AJ....103.1987B *       15.22   14.82   14.5    *       13.677  13.362  13.317  5930   1.9    -2.62 3       *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.88  *     *     *     *    *     *     *     *     *    0.41  *     *     *     *     *     *     *     *     *     *    *     -0.38 *     *     *     *     *     -1.3  *     *     *     *     *     *     -0.98 *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
60    2     AND09       BS17570-063                 2MASS_J00203619+2347376            *        *        *     MS    0_20_36.19     23_47_37.7     *       *                   *       14.84   14.51   *       *       13.468  13.172  13.073  6240   4.8    -2.92 0.5     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.58  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.05 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
61    2     AND10       BS17570-063                 2MASS_J00203619+2347376            *        *        *     MS    0_20_36.19     23_47_37.7     *       *                   *       14.84   14.51   *       *       13.468  13.172  13.073  6240   4.8    -2.92 0.5     *     *     *    *    *    *    *    4.74 *    *    *    *    *    *     *     *     *     *     *     4.58  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
62    1     BON09       BS17570-063                 2MASS_J00203619+2347376            *        *        *     MS    0_20_36.19     23_47_37.7     *       *                   *       14.84   14.51   *       *       13.468  13.172  13.073  6242   4.75   -2.92 0.5     *     *     6.03 *    *    *    *    4.74 *    4.67 *    *    *    3.73  0.54  2.55  *     2.52  1.71  4.58  2.31  3.26  *     2.09 *     *     *     *     *    0.03  *     *     *     *     *     *     *     *     *     *    *     -1.05 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
63    2     SPI11       BS17570-063                 2MASS_J00203619+2347376            *        *        *     MS    0_20_36.19     23_47_37.7     *       *                   *       14.84   14.51   *       *       13.468  13.172  13.073  6240   4.8    -2.92 0.5     *     *     *    *    *    *    *    *    *    *    *    5.05 *    *     *     *     *     *     *     4.58  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
64    2     SPI12       BS17570-063                 2MASS_J00203619+2347376            *        *        *     MS    0_20_36.19     23_47_37.7     *       *                   *       14.84   14.51   *       *       13.468  13.172  13.073  6240   4.8    -2.92 0.5     *     *     *    *    *    *    *    *    *    *    *    *    *    3.8   *     *     *     *     *     4.58  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
